ID,X,Y,Voltage,Power,Cluster
15876.0,1101104.9362201132,309425.2355168243,0.945,0.0,1
15884.0,1101418.0653134715,309543.5628180212,0.945,0.0,1
15904.0,1102095.7623216305,310062.9932714268,0.945,0.0,1
15908.0,1102283.6406490605,310123.79383171716,0.946,0.0,1
15923.0,1102920.8629259816,310372.1411197593,0.946,0.0,1
16579.0,1103745.034369813,311156.8758780871,0.945,0.0,1
16680.0,1100983.5196258486,312118.85622394626,0.949,0.0,1
16746.0,1101729.8738858206,311465.20641984,0.948,0.0,1
16757.0,1102062.8945434494,311318.4055896933,0.947,0.0,1
16775.0,1102888.4823246596,310978.9437750315,0.946,0.0,1
16828.0,1102796.762374973,312025.9659884597,0.946,0.0,1
16837.0,1102984.777422124,312320.19151176396,0.946,0.0,1
19022.0,1103495.9051304809,312849.84694193077,0.946,0.0,1
19032.0,1102220.354216944,312767.671287221,0.951,0.0,1
19034.0,1101893.477956787,312609.47681457404,0.951,0.0,1
19037.0,1101541.4843129232,312445.65865309373,0.95,0.0,1
15577.0,1103454.369946495,312523.8848862525,0.946,0.703,1
15918.0,1102707.52965434,310285.11598786764,0.946,0.0,1
15925.0,1102989.160106703,310381.67051860515,0.946,0.0,1
16571.0,1104040.0879322023,311452.03955546784,0.945,1.641,1
16645.0,1103233.4108523065,312387.5188838473,0.946,0.771,1
16702.0,1102437.35643436,311245.7452685285,0.947,0.215,1
16714.0,1102649.699380048,310778.32496473164,0.946,0.413,1
16776.0,1102860.9724364409,311000.64006079,0.946,0.273,1
16824.0,1101773.537862427,311547.8258736281,0.948,1.03,1
18085.0,1103184.7965058251,312961.64693195873,0.948,0.0,1
19038.0,1101499.458385169,312421.66712852736,0.95,1.446,1
19048.0,1100850.6658699145,312033.0044459336,0.949,0.0,1
19117.0,1101708.1825243342,308957.4292551312,0.945,0.886,1
19118.0,1102060.4407914141,308976.2630433041,0.945,0.473,1
19149.0,1102258.8093020443,309138.42459978897,0.945,0.374,1
19168.0,1101919.0095312498,309311.73611243896,0.945,0.135,1
