X,Y,geometry,ID,Elevation,Slope,Land_cover,Protected_area,Road_dist,River_flow
1101918.1212461155,308664.74535690405,POINT (1101918.121246116 308664.7453569041),0,1080,0.15863248705863953,1,False,1009.4230462679773,
1102118.1212461155,308664.74535690405,POINT (1102118.121246116 308664.7453569041),1,1080,0.2643675208091736,1,False,1113.8067957896199,
1101718.1212461155,308864.74535690405,POINT (1101718.121246116 308864.7453569041),2,1081,0.12153657525777817,1,False,741.1497807362465,
1101918.1212461155,308864.74535690405,POINT (1101918.121246116 308864.7453569041),3,1084,0.14108365774154663,1,False,837.0961112056474,
1102118.1212461155,308864.74535690405,POINT (1102118.121246116 308864.7453569041),4,1083,0.2963847219944,1,False,953.0972933711012,
1103718.1212461155,308864.74535690405,POINT (1103718.121246116 308864.7453569041),5,1021,0.22827064990997314,1,False,1665.5888792902565,
1103918.1212461155,308864.74535690405,POINT (1103918.121246116 308864.7453569041),6,1062,0.2151903361082077,1,False,1757.6906256897546,
1104118.1212461155,308864.74535690405,POINT (1104118.121246116 308864.7453569041),7,1059,0.16701281070709229,1,False,1866.752891107955,
1104318.1212461155,308864.74535690405,POINT (1104318.121246116 308864.7453569041),8,937,0.14180876314640045,1,False,1989.9890394879508,
1101518.1212461155,309064.74535690405,POINT (1101518.121246116 309064.7453569041),9,1084,0.2683359384536743,1,False,475.7429980879119,
1101718.1212461155,309064.74535690405,POINT (1101718.121246116 309064.7453569041),10,1086,0.16501830518245697,1,False,562.468772108561,
1101918.1212461155,309064.74535690405,POINT (1101918.121246116 309064.7453569041),11,1087,0.1481894999742508,1,False,672.0779555866575,
1102118.1212461155,309064.74535690405,POINT (1102118.121246116 309064.7453569041),12,1083,0.2737332284450531,1,False,801.1003395818759,
1102318.1212461155,309064.74535690405,POINT (1102318.121246116 309064.7453569041),13,1078,0.21571503579616547,1,False,941.1025524728092,
1103518.1212461155,309064.74535690405,POINT (1103518.121246116 309064.7453569041),14,1061,0.3960925340652466,1,False,1404.34896885016,
1103718.1212461155,309064.74535690405,POINT (1103718.121246116 309064.7453569041),15,1064,0.25091928243637085,1,False,1485.7611002892677,
1103918.1212461155,309064.74535690405,POINT (1103918.121246116 309064.7453569041),16,1066,0.16635261476039886,1,False,1588.3249251822008,
1104118.1212461155,309064.74535690405,POINT (1104118.121246116 309064.7453569041),17,1064,0.21221229434013367,1,False,1708.2347873689118,
1104318.1212461155,309064.74535690405,POINT (1104318.121246116 309064.7453569041),18,1050,0.16527439653873444,1,False,1842.1064327556048,
1096718.1212461155,309264.74535690405,POINT (1096718.121246116 309264.7453569041),19,925,0.1077801063656807,4,False,763.9806145242995,
1096918.1212461155,309264.74535690405,POINT (1096918.121246116 309264.7453569041),20,686,0.07611376792192459,4,False,564.1205458949648,
1101518.1212461155,309264.74535690405,POINT (1101518.121246116 309264.7453569041),21,1090,0.2875395119190216,1,False,294.00280615420127,
1101718.1212461155,309264.74535690405,POINT (1101718.121246116 309264.7453569041),22,1090,0.21880872547626495,4,False,392.70496794545585,
1101918.1212461155,309264.74535690405,POINT (1101918.121246116 309264.7453569041),23,1088,0.1541145145893097,3,False,518.6507199975795,
1102118.1212461155,309264.74535690405,POINT (1102118.121246116 309264.7453569041),24,1085,0.22603192925453186,1,False,658.5311562165242,
1102318.1212461155,309264.74535690405,POINT (1102318.121246116 309264.7453569041),25,1080,0.16767410933971405,1,False,815.7870295011323,
1102518.1212461155,309264.74535690405,POINT (1102518.121246116 309264.7453569041),26,1072,0.17043858766555786,3,False,890.4748353963959,
