X,Y,ID,Elevation,Weight
1101918.1212461155,308664.74535690405,0,1080,6.002752673194767
1102118.1212461155,308664.74535690405,1,1080,6.004591649505307
1101718.1212461155,308864.74535690405,2,1081,4.707857191362329
1101918.1212461155,308864.74535690405,3,1084,5.187928340461858
1102118.1212461155,308864.74535690405,4,1083,5.770635634344332
1103718.1212461155,308864.74535690405,5,1021,6.003963462759791
1103918.1212461155,308864.74535690405,6,1062,6.003735925605744
1104118.1212461155,308864.74535690405,7,1059,6.002898303454457
1104318.1212461155,308864.74535690405,8,937,6.002460380388631
1101518.1212461155,309064.74535690405,9,1084,3.3833757255137513
1101718.1212461155,309064.74535690405,10,1086,3.8152075022776497
1101918.1212461155,309064.74535690405,11,1087,4.362961006237174
1102118.1212461155,309064.74535690405,12,1083,5.010256401195115
1102318.1212461155,309064.74535690405,13,1078,5.709257814332364
1103518.1212461155,309064.74535690405,14,1061,6.0068873701697125
1103718.1212461155,309064.74535690405,15,1064,6.004357566530025
1103918.1212461155,309064.74535690405,16,1066,6.002886830038583
1104118.1212461155,309064.74535690405,17,1064,6.003684128616468
1104318.1212461155,309064.74535690405,18,1050,6.002868092177813
1096718.1212461155,309264.74535690405,19,925,4.821772504755814
1096918.1212461155,309264.74535690405,20,686,3.8219225507639725
1101518.1212461155,309264.74535690405,21,1090,2.475009145013037
1101718.1212461155,309264.74535690405,22,1090,2.967323703465544
1101918.1212461155,309264.74535690405,23,1088,3.5959277702506123
1102118.1212461155,309264.74535690405,24,1085,4.296580296766262
1102318.1212461155,309264.74535690405,25,1080,5.081844943670946
1102518.1212461155,309264.74535690405,26,1072,5.455332018450058
1102918.1212461155,309264.74535690405,27,1066,6.002776354273968
1103318.1212461155,309264.74535690405,28,1065,6.005045108523472
1103518.1212461155,309264.74535690405,29,1069,6.004693897398951
1103718.1212461155,309264.74535690405,30,1069,6.005929681787189
1103918.1212461155,309264.74535690405,31,1068,6.003419242572743
1104118.1212461155,309264.74535690405,32,1066,6.0034293636018425
1104318.1212461155,309264.74535690405,33,1062,6.002975145447091
1104518.1212461155,309264.74535690405,34,1058,6.0029627634181075
1104718.1212461155,309264.74535690405,35,1051,6.001726761132186
1117518.1212461155,309264.74535690405,36,1039,3.759163244841403
1117718.1212461155,309264.74535690405,37,1046,2.765135186617219
1117918.1212461155,309264.74535690405,38,1052,1.7927967205250521
1096518.1212461155,309464.74535690405,39,956,5.9012869377399495
1096718.1212461155,309464.74535690405,40,1100,4.919284074552408
1096918.1212461155,309464.74535690405,41,1100,3.9528472563652635
1097118.1212461155,309464.74535690405,42,1102,3.020780656959763
1097318.1212461155,309464.74535690405,43,1106,2.176101602986537
1097518.1212461155,309464.74535690405,44,1085,1.5202506064383918
1100318.1212461155,309464.74535690405,45,831,3.038696008124078
1100518.1212461155,309464.74535690405,46,911,2.125904788061954
1100718.1212461155,309464.74535690405,47,1097,1.5726800027720413
1100918.1212461155,309464.74535690405,48,1101,1.5
1101118.1212461155,309464.74535690405,49,1101,1.5
1101318.1212461155,309464.74535690405,50,1098,1.5
1101518.1212461155,309464.74535690405,51,1095,1.5934348425786977
1101718.1212461155,309464.74535690405,52,1093,2.189360081829302
1101918.1212461155,309464.74535690405,53,1088,2.885895761060581
1102118.1212461155,309464.74535690405,54,1083,3.699164246234869
1102318.1212461155,309464.74535690405,55,1077,4.184103081037907
1102518.1212461155,309464.74535690405,56,1072,4.500841818773292
1102718.1212461155,309464.74535690405,57,1068,4.896797413574589
1102918.1212461155,309464.74535690405,58,1069,5.22921255702334
1103118.1212461155,309464.74535690405,59,1071,5.575027222006536
1103318.1212461155,309464.74535690405,60,1073,5.809022701537138
1103518.1212461155,309464.74535690405,61,1076,6.005175618276873
1103718.1212461155,309464.74535690405,62,1073,6.0044176351952565
1103918.1212461155,309464.74535690405,63,1070,6.003219425621962
1104118.1212461155,309464.74535690405,64,1065,6.003523541326839
1104318.1212461155,309464.74535690405,65,1061,6.003035449485904
1104518.1212461155,309464.74535690405,66,1055,6.0032913624145445
1104718.1212461155,309464.74535690405,67,1048,6.0037130364562925
1104918.1212461155,309464.74535690405,68,1045,6.0024685412728065
1117318.1212461155,309464.74535690405,69,1041,4.816012690495484
1117518.1212461155,309464.74535690405,70,1045,3.8412986109483613
1117718.1212461155,309464.74535690405,71,1049,2.8949509296551375
1117918.1212461155,309464.74535690405,72,1054,2.0500214553613194
1118118.1212461155,309464.74535690405,73,1056,1.7819452280311125
1118318.1212461155,309464.74535690405,74,1056,1.5580111220062047
1096318.1212461155,309664.74535690405,75,1040,5.865259767899483
1096518.1212461155,309664.74535690405,76,1096,6.002976907069241
1096718.1212461155,309664.74535690405,77,1093,5.256243549759827
1096918.1212461155,309664.74535690405,78,1094,4.3877614181226905
1097118.1212461155,309664.74535690405,79,1096,3.583656304098388
1097318.1212461155,309664.74535690405,80,1100,2.909044130421826
