Conn_param,Cost,ID1,ID2,Length,geometry
0.0,3360384.0896056597,15876.0,15884.0,336.03840896056596,"LINESTRING (1101104.936220113 309425.2355168243, 1101418.065313471 309543.5628180212)"
1.0,3491922.602046093,15884.0,19376.0,349.1922602046093,"LINESTRING (1101418.065313471 309543.5628180212, 1101658.515695919 309776.0808697547)"
2.0,5489180.93344142,19376.0,15904.0,548.918093344142,"LINESTRING (1101658.515695919 309776.0808697547, 1102095.76232163 310062.9932714268)"
3.0,1976085.08365295,15904.0,15908.0,197.60850836529502,"LINESTRING (1102095.76232163 310062.9932714268, 1102283.64064906 310123.7938317172)"
4.0,4548155.88911377,15908.0,15918.0,454.815588911377,"LINESTRING (1102283.64064906 310123.7938317172, 1102707.52965434 310285.1159878676)"
5.0,2304688.29194744,15918.0,15923.0,230.468829194744,"LINESTRING (1102707.52965434 310285.1159878676, 1102920.862925982 310372.1411197593)"
6.0,690945.80674428,15923.0,15925.0,69.094580674428,"LINESTRING (1102920.862925982 310372.1411197593, 1102989.160106703 310381.6705186052)"
7.0,5081199.556321007,15925.0,19624.0,508.1199556321007,"LINESTRING (1102989.160106703 310381.6705186052, 1103114.136175775 310599.2409850461)"
8.0,293389.10923528794,15876.0,19202.0,29.338910923528793,"LINESTRING (1101104.936220113 309425.2355168243, 1101128.429602723 309407.6618812373)"
9.0,5014994.726589486,15876.0,19201.0,501.49947265894855,"LINESTRING (1101104.936220113 309425.2355168243, 1100633.292680199 309398.1453280671)"
10.0,3308092.2319726218,19201.0,19322.0,330.8092231972622,"LINESTRING (1100633.292680199 309398.1453280671, 1100442.347200249 309648.0960100344)"
11.0,6220828.927032086,19322.0,19365.0,622.0828927032087,"LINESTRING (1100442.347200249 309648.0960100344, 1100019.286874324 309755.0960916761)"
12.0,742870.2586526552,15884.0,19257.0,74.28702586526552,"LINESTRING (1101418.065313471 309543.5628180212, 1101489.338025109 309522.7808786841)"
13.0,3728764.418534932,19257.0,19258.0,372.87644185349313,"LINESTRING (1101489.338025109 309522.7808786841, 1101739.663996426 309531.3332020022)"
14.0,4260179.070248723,19258.0,19180.0,426.01790702487233,"LINESTRING (1101739.663996426 309531.3332020022, 1101983.052960742 309350.7821982359)"
15.0,984192.8190744396,19180.0,19198.0,98.41928190744395,"LINESTRING (1101983.052960742 309350.7821982359, 1102041.064440308 309400.0690958314)"
16.0,3311746.481256118,19469.0,19491.0,331.17464812561184,"LINESTRING (1102362.435536095 310024.0517344106, 1102167.511743584 310055.0739190186)"
17.0,864971.1957665576,19491.0,15904.0,86.49711957665575,"LINESTRING (1102167.511743584 310055.0739190186, 1102095.76232163 310062.9932714268)"
18.0,1133488.2302745027,19201.0,19228.0,113.34882302745027,"LINESTRING (1100633.292680199 309398.1453280671, 1100725.509897149 309450.2363326825)"
19.0,5596284.364744535,19332.0,19375.0,559.6284364744535,"LINESTRING (1103974.107002329 309687.7125753495, 1103524.628001794 309788.2886028762)"
20.0,4591549.115085485,19375.0,19503.0,459.15491150854854,"LINESTRING (1103524.628001794 309788.2886028762, 1103705.255331821 310095.0234329142)"
21.0,2738401.770331799,16645.0,16837.0,273.84017703317994,"LINESTRING (1103233.410852307 312387.5188838473, 1102984.777422124 312320.191511764)"
22.0,2418771.7876212457,16837.0,20066.0,241.87717876212457,"LINESTRING (1102984.777422124 312320.191511764, 1102911.969241278 312510.5868846297)"
23.0,2874239.11541991,16645.0,15577.0,287.423911541991,"LINESTRING (1103233.410852307 312387.5188838473, 1103454.369946495 312523.8848862525)"
24.0,4077612.17565485,15577.0,19022.0,407.7612175654849,"LINESTRING (1103454.369946495 312523.8848862525, 1103495.905130481 312849.8469419308)"
25.0,3312803.93366285,19022.0,18085.0,331.28039336628495,"LINESTRING (1103495.905130481 312849.8469419308, 1103184.796505825 312961.6469319587)"
26.0,2226686.9397495603,18085.0,20309.0,222.668693974956,"LINESTRING (1103184.796505825 312961.6469319587, 1103149.643892821 313144.2546542116)"
27.0,351431.35697329993,16775.0,16776.0,35.143135697329996,"LINESTRING (1102888.48232466 310978.9437750315, 1102860.972436441 311000.64006079)"
28.0,4183495.5967753297,16775.0,19706.0,418.3495596775329,"LINESTRING (1102888.48232466 310978.9437750315, 1103189.25904821 311182.5915036561)"
29.0,6992242.370436973,19706.0,16579.0,699.2242370436971,"LINESTRING (1103189.25904821 311182.5915036561, 1103745.034369813 311156.8758780871)"
30.0,1580551.8994296119,16579.0,19673.0,158.0551899429612,"LINESTRING (1103745.034369813 311156.8758780871, 1103838.029832501 311081.0226097652)"
31.0,6483178.16625161,16775.0,15925.0,648.317816625161,"LINESTRING (1102888.48232466 310978.9437750315, 1102989.160106703 310381.6705186052)"
32.0,1441177.5107748655,19341.0,19375.0,144.11775107748656,"LINESTRING (1103403.604025394 309710.038214302, 1103524.628001794 309788.2886028762)"
33.0,6045377.77818658,19341.0,19474.0,604.537777818658,"LINESTRING (1103403.604025394 309710.038214302, 1103008.749867942 310030.2984306346)"
34.0,639559.7266374485,19474.0,19481.0,63.95597266374485,"LINESTRING (1103008.749867942 310030.2984306346, 1102945.62467768 310040.5734875053)"
35.0,4175169.6433916437,19481.0,15923.0,417.5169643391644,"LINESTRING (1102945.62467768 310040.5734875053, 1102920.862925982 310372.1411197593)"
