id1,id2,Length,Loading,Cost,Geom
19022.0,16511.0,726.811,0.136,7268.1113207772605,"LINESTRING (1103495.905130481 312849.8469419308, 1103546.398498197 312830.166453358, 1103550.204707647 312828.6858526384, 1103589.795767884 312813.1052222619, 1103621.004447492 312801.0498996772, 1103661.18991064 312788.4501533567, 1103705.580207251 312773.1804128202, 1103801.801166496 312752.5127728716, 1103857.251617456 312741.473342018, 1103973.982961218 312721.3388908083, 1104026.607161073 312712.3709788381, 1104039.923742476 312698.2963062956, 1104047.518609524 312669.0436373654, 1104050.392907961 312636.6698008114, 1104052.299494878 312607.1206764081, 1104066.314299338 312579.7872137687, 1104044.774613402 312559.2305959784)"
20172.0,22450.0,655.012,0.007,23117.808883200916,"LINESTRING (1101384.071998439 312797.2694751563, 1101318.121246116 312864.7453569041, 1101118.121246116 313064.7453569041, 1100966.10132314 313258.8595708937, 1100974.582129113 313228.7726687347)"
20189.0,22931.0,1482.282,-0.191,14822.822973344353,"LINESTRING (1102473.928624379 312836.6261095554, 1102459.482857837 312855.7165463924, 1102452.110564358 312895.5417700927, 1102395.473078706 313031.0590228387, 1102289.411830812 313238.0424352427, 1102191.730129561 313476.1292352377, 1102121.374129557 313665.7262962539, 1102102.241163145 313691.0620962805, 1102116.662235356 313775.0174610353, 1102137.86256372 313886.0582957305, 1102141.672199833 313935.8933601006, 1102123.004402617 313942.6178468835, 1102104.625672159 313960.6218767838, 1102072.726206463 313950.1159530579, 1102075.97616226 313933.2917629224, 1102092.206801267 313920.3345904016, 1102089.709926849 313898.5478295776, 1102067.561342496 313897.7195334627, 1102045.169643072 313879.6296249531, 1102020.340743313 313837.138134175, 1101986.322642531 313818.3873225586, 1101967.753127649 313808.8908083066)"
20458.0,20751.0,1188.69,-0.009,21056.75538492556,"LINESTRING (1099291.685765627 311044.0281445213, 1099369.916864048 311065.4049736859, 1099433.698875907 311136.0619127883, 1099486.650751903 311201.3925420426, 1099518.121246116 311464.7453569041, 1099318.121246116 311664.7453569041, 1099166.549855653 311836.4891188503, 1099190.604654484 311934.6126028949, 1099207.739738067 311937.6937940767, 1099235.338565707 311920.0848368964)"
20503.0,20581.0,1944.141,-0.002,21948.94577628144,"LINESTRING (1105369.653320279 311199.5169620451, 1105388.163728919 311186.1202363998, 1105656.526371226 311304.7648167376, 1105965.268724483 311370.4592238523, 1106167.476298045 311420.1802937055, 1106578.749208614 311562.3848892183, 1106779.827589013 311627.7012993547, 1106979.342649909 311568.590503226, 1106991.710740673 311545.6458325672, 1107010.798648427 311542.478323504, 1107014.244981653 311510.2432874353, 1107002.476261548 311452.7087320047, 1107028.072170248 311364.7992873319, 1107043.273612692 311350.0288401314)"
20527.0,20669.0,1372.54,0.006,23384.332345395942,"LINESTRING (1108072.704908266 310951.2118267798, 1108086.711499099 310962.1956466783, 1108145.760441528 310930.372816136, 1108173.285597817 310920.7661352832, 1108297.351685368 310799.3941509193, 1108320.064052624 310794.7091823308, 1108341.83646739 310813.8657808069, 1108409.756705461 310943.9935737107, 1108518.121246116 311064.7453569041, 1108718.121246116 311264.7453569041, 1108993.171047675 311358.6685146076, 1108992.125952229 311377.0510073141, 1108952.840102009 311502.885828317)"
16551.0,20953.0,914.356,-0.014,15869.218705394873,"LINESTRING (1107389.690625315 311611.6782767023, 1107301.445200544 311652.5705281047, 1107255.203041687 311658.9715714325, 1107092.213344269 311681.5235061436, 1107118.121246116 311864.7453569041, 1107118.121246116 312064.7453569041, 1106987.494243982 312224.0646717771, 1107000.290350328 312231.5048000381)"
20698.0,20935.0,1165.407,0.002,43464.50753949372,"LINESTRING (1109192.622948558 311813.4034273998, 1109174.324243867 311845.1996518053, 1109150.468688068 311869.2670785662, 1109159.501001176 311892.2728706643, 1109194.200861905 311905.4137061076, 1109168.825787269 311953.0434155136, 1109168.226148426 311976.2978318188, 1109136.280000635 312077.5387238227, 1109129.655882228 312104.0256430117, 1109318.121246116 312264.7453569041, 1109518.121246116 312464.7453569041, 1109806.835272547 312506.9881756459)"
20735.0,21533.0,1171.974,-0.011,13218.861791418809,"LINESTRING (1098756.694836037 311691.0598721568, 1098765.742370443 311759.6686537139, 1098789.287767947 311774.816766708, 1098817.575022206 311780.4075691499, 1098744.070888961 312071.0818040356, 1098769.969172129 312298.4527275386, 1098752.230430157 312508.3501411767, 1098753.81230576 312554.7662229766, 1098762.523694291 312615.4813160758, 1098777.032485039 312715.4757627976, 1098835.40696497 312668.8783888372, 1098843.234215638 312647.1283627526)"
20815.0,22399.0,1936.43,-0.003,83132.39754644327,"LINESTRING (1111259.503146944 311782.3302810182, 1111282.121045691 311781.544608933, 1111307.061361445 311778.9645830173, 1111329.988873028 311785.6544598329, 1111318.121246116 312064.7453569041, 1111318.121246116 312264.7453569041, 1111318.121246116 312464.7453569041, 1111118.121246116 312664.7453569041, 1110918.121246116 312864.7453569041, 1110796.16136267 313066.0725467622, 1110771.199589105 313071.6027776636, 1110740.250693965 313036.9804276885, 1110684.094272536 313002.9329631027, 1110664.763955368 312997.5242097495, 1110648.527301523 313058.6895168019, 1110645.584257165 313093.9969498311, 1110676.614913526 313105.749855971, 1110687.129870437 313138.9451407747, 1110695.573413744 313162.6144549451, 1110730.402884976 313162.8476682669)"
