Cluster,Sub_cluster,Population,Load [kW],Grid_Length [km],Grid Cost [euro],Max length [km],Transformer_rated_power [kVA],Cost[euro]
11.0,0.0,3064,3.8639895454612936,3.576194926855377,35761.94926855377,0.504969822848819,50,1500
11.0,1.0,651,0.820335355019784,1.2725534410048145,12725.534410048143,0.4442268731676272,50,1500
11.0,2.0,520,0.6556743989549241,0.9566966275229598,9566.966275229597,0.6112982919071677,50,1500
11.0,3.0,300,0.37796325683593746,0.7904515590432422,7904.515590432421,0.37196194776364666,50,1500
11.0,4.0,134,0.1685098106796677,0.49519353180418557,4951.935318041856,0.22115119319458326,50,1500
11.0,5.0,2541,3.203798466072426,1.878759526463081,18787.59526463081,0.67242072739462,50,1500
11.0,6.0,453,0.5707497089832753,0.4192844312530721,4192.84431253072,0.1790573200989278,50,1500
11.0,7.0,357,0.4502639566026292,0.6096839627467489,6096.839627467489,0.183172946844055,50,1500
11.0,8.0,255,0.32080191414635456,0.4877575304721981,4877.575304721981,0.27028947649437596,50,1500
11.0,9.0,934,1.1768127281601364,0.76335535777102,7633.553577710201,0.24907773666080835,50,1500
11.0,10.0,1541,1.9435408746874008,1.7195631301162848,17195.631301162848,0.5767038886111546,50,1500
11.0,11.0,417,0.5255399899869352,0.9145510469701671,9145.510469701672,0.4465350696385036,50,1500
11.0,12.0,850,1.0713099622296856,0.8498116688018086,8498.116688018086,0.4311035450936319,50,1500
11.0,13.0,1316,1.6597327155035893,1.300854826577854,13008.548265778538,0.38409682373067777,50,1500
11.0,14.0,256,0.32178155022698474,0.6677009251042312,6677.009251042311,0.2688168009053412,50,1500
11.0,15.0,381,0.47974062687641866,0.5257914166259491,5257.914166259491,0.33702596178193517,50,1500
11.0,16.0,727,0.9164260639156306,0.6998872388070324,6998.872388070325,0.39411724598251313,50,1500
11.0,17.0,531,0.6695270007365458,0.6659637740752271,6659.637740752271,0.30538856474382714,50,1500
11.0,18.0,270,0.34038769541559993,0.4022460978817648,4022.4609788176476,0.19097825335042765,50,1500
11.0,19.0,138,0.17351359616528758,0.22116808092496001,2211.6808092496,0.17456910589967406,50,1500
11.0,20.0,192,0.24125331758378862,0.25476404179840245,2547.6404179840247,0.14685783852805823,50,1500
