id1,id2,Length,Loading,Cost,Geom
15876.0,15884.0,336038.409,-0.004,3360384.08960566,"MULTILINESTRING ((1101104.936220113 309425.2355168243, 1101161.20210322 309437.9832416942), (1101161.20210322 309437.9832416942, 1101194.220276599 309447.3110644491), (1101194.220276599 309447.3110644491, 1101227.260669497 309457.9139677377), (1101227.260669497 309457.9139677377, 1101260.140221148 309470.93578501), (1101260.140221148 309470.93578501, 1101296.6701952 309487.8365270615), (1101366.407972492 309519.640568347, 1101328.872159762 309501.6928393365), (1101366.407972492 309519.640568347, 1101418.065313471 309543.5628180212), (1101328.872159762 309501.6928393365, 1101296.6701952 309487.8365270615))"
15884.0,19376.0,349192.26,-0.01,3491922.602046093,"MULTILINESTRING ((1101520.968702034 309607.5799883853, 1101478.213514602 309576.9328934069), (1101520.968702034 309607.5799883853, 1101576.187434581 309654.7195071803), (1101608.092888339 309684.2000005795, 1101576.187434581 309654.7195071803), (1101608.092888339 309684.2000005795, 1101645.033715912 309725.6809860183), (1101658.515695919 309776.0808697547, 1101662.870869068 309753.8776182776), (1101418.065313471 309543.5628180212, 1101478.213514602 309576.9328934069), (1101645.033715912 309725.6809860183, 1101662.870869068 309753.8776182776))"
19376.0,15904.0,548918.093,-0.013,5489180.93344142,"MULTILINESTRING ((1101707.54534276 309853.354283607, 1101692.652277288 309821.895331124), (1101707.54534276 309853.354283607, 1101725.936916817 309876.9748143878), (1101947.106467861 310017.683236778, 1101899.832934586 310009.0615176391), (1101947.106467861 310017.683236778, 1101979.276980689 310020.1023990416), (1101658.515695919 309776.0808697547, 1101677.763084724 309787.560751008), (1101677.763084724 309787.560751008, 1101692.652277288 309821.895331124), (1101725.936916817 309876.9748143878, 1101752.25405644 309900.7063456319), (1101752.25405644 309900.7063456319, 1101775.784790367 309919.8928570165), (1101775.784790367 309919.8928570165, 1101800.207675132 309940.423615961), (1101800.207675132 309940.423615961, 1101836.310578723 309968.7604588252), (1101836.310578723 309968.7604588252, 1101899.832934586 310009.0615176391), (1101979.276980689 310020.1023990416, 1102015.089048026 310030.3464366916), (1102015.089048026 310030.3464366916, 1102049.184079411 310041.5783572676), (1102049.184079411 310041.5783572676, 1102095.76232163 310062.9932714268))"
15904.0,15908.0,197608.508,-0.015,1976085.08365295,"MULTILINESTRING ((1102229.523033798 310107.7788966022, 1102188.249965932 310096.6533285376), (1102229.523033798 310107.7788966022, 1102283.64064906 310123.7938317172), (1102095.76232163 310062.9932714268, 1102152.002209295 310083.4756508691), (1102188.249965932 310096.6533285376, 1102152.002209295 310083.4756508691))"
15908.0,15918.0,454815.589,-0.016,4548155.88911377,"MULTILINESTRING ((1102570.267852763 310244.5381649582, 1102532.063271651 310233.5847377045), (1102570.267852763 310244.5381649582, 1102612.722258667 310257.2329547229), (1102283.64064906 310123.7938317172, 1102314.106513642 310134.6741248865), (1102314.106513642 310134.6741248865, 1102363.073357723 310157.6265693862), (1102363.073357723 310157.6265693862, 1102424.686123146 310187.9523471109), (1102424.686123146 310187.9523471109, 1102482.591686439 310214.5478047664), (1102482.591686439 310214.5478047664, 1102532.063271651 310233.5847377045), (1102612.722258667 310257.2329547229, 1102648.241499075 310268.1088749841), (1102648.241499075 310268.1088749841, 1102690.63903414 310278.942158871), (1102690.63903414 310278.942158871, 1102707.52965434 310285.1159878676))"
15918.0,15923.0,230468.829,0.01,2304688.29194744,"MULTILINESTRING ((1102707.52965434 310285.1159878676, 1102757.745127162 310305.1988881624), (1102794.801079594 310321.7217428906, 1102757.745127162 310305.1988881624), (1102794.801079594 310321.7217428906, 1102835.674917781 310338.2808949056), (1102835.674917781 310338.2808949056, 1102884.091674241 310358.8023157674), (1102920.862925982 310372.1411197593, 1102884.091674241 310358.8023157674))"
15923.0,15925.0,69094.581,0.006,690945.80674428,"MULTILINESTRING ((1102920.862925982 310372.1411197593, 1102969.486864593 310380.2486729493), (1102969.486864593 310380.2486729493, 1102989.160106703 310381.6705186052))"
15925.0,19624.0,508119.956,0.001,5081199.556321007,"MULTILINESTRING ((1103222.712707737 310598.8496016525, 1103190.758553972 310563.7647944914), (1103222.712707737 310598.8496016525, 1103188.901312237 310635.5929878677), (1103190.758553972 310563.7647944914, 1103157.021170439 310525.7588214577), (1103157.021170439 310525.7588214577, 1103126.46599939 310493.7052044894), (1103126.46599939 310493.7052044894, 1103097.508828407 310460.1048269062), (1103097.508828407 310460.1048269062, 1103064.300195165 310421.0684043433), (1103064.300195165 310421.0684043433, 1103029.89619406 310381.4960261105), (1103114.136175775 310599.2409850461, 1103157.276432202 310624.8600574253), (1103157.276432202 310624.8600574253, 1103170.778637447 310654.6567970598), (1103188.901312237 310635.5929878677, 1103191.007744715 310658.7941703924), (1103170.778637447 310654.6567970598, 1103191.007744715 310658.7941703924), (1102989.160106703 310381.6705186052, 1103029.89619406 310381.4960261105))"
15876.0,19202.0,29338.911,0.001,293389.109235288,"MULTILINESTRING ((1101128.429602723 309407.6618812373, 1101104.936220113 309425.2355168243))"
15876.0,19201.0,501499.473,0.003,5014994.726589486,"MULTILINESTRING ((1100671.445730284 309387.5522968102, 1100707.030628336 309345.0191874271), (1100671.445730284 309387.5522968102, 1100633.292680199 309398.1453280671), (1100707.030628336 309345.0191874271, 1100754.791146045 309355.2440427854), (1100754.791146045 309355.2440427854, 1100840.829222303 309372.9209968458), (1100840.829222303 309372.9209968458, 1100888.461759563 309386.8293461128), (1100941.339949917 309397.5511870704, 1100888.461759563 309386.8293461128), (1100941.339949917 309397.5511870704, 1101005.218137715 309409.3100915665), (1101054.734857934 309418.4531102628, 1101005.218137715 309409.3100915665), (1101054.734857934 309418.4531102628, 1101104.936220113 309425.2355168243))"
